name
ROLE_SUPER_ADMIN
ROLE_ADMIN
ROLE_USER
ROLE_VIEW
ROLE_BROKER
ROLE_AGENT
ROLE_POD_ASSIST
ROLE_PARTNER
ROLE_REFERRER
ROLE_SETTLEMENT_OFFICER
ROLE_COMPLIANCE_OFFICER
ROLE_ACCOUNTING_OFFICER
ROLE_MANAGER
ROLE_AUSLOANS_MANAGER
